1,,Neerja28,root1234,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Neerja,Neerja28,root1234,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Please correct the following errors,Name cannot be blank,,,,,,,,,x
2,N,Neerja28,root1234,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Neerja,Neerja29,root1234,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Please correct the following errors,Name must be between 2 and 32 characters,,,,,,,,,x
3,neer,Neerja28,root1234,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Neerja,Neerja30,root1234,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Please correct the following errors,Name must start with a capital letter,,,,,,,,,x
4,Neer28,Neerja28,root1234,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Neerja,Neerja31,root1234,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Please correct the following errors,Name cannot contain numbers,,,,,,,,,x
5,Neerja,,root1234,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Neerja,Neerja32,root1234,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Please correct the following errors,,Login ID cannot be blank,,,,,,,,x
6,Neerja,Neerja,root1234,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Neerja,Neerja33,root1234,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Please correct the following errors,,Login ID must be between 7 and 16 characters,,,,,,,,x
7,Neerja,Neerja28,root,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Neerja,Neerja34,root1234,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Please correct the following errors,,,Password must be between 8 and 16 characters,,,,,,,x
8,Neerja,Neerja28,,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Neerja,Neerja35,root1234,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Please correct the following errors,,,Password cannot be blank,,,,,,,x
9,Neerja,Neerja28,root1234,9191919,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Neerja,Neerja36,root1234,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Please correct the following errors,,,,MAV ID should be in the format 100#######,,,,,,x
10,Neerja,Neerja31,root1234,1001575625,,NEER,,68250093,user,Y,16,Neerja,Neerja37,root1234,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Please correct the following errors,,,,,Email cannot be blank,Driving License # must be between 6 and 12 characters,Driving License Expiry Date cannot be blank,Contact # must be 10 digits in length,Age should be at least 18,x
11,Neerja,Neerja28,root1234,1001575625,n.neerja28gmail.com,,2016-09-09,sdfghjlkmk,user,Y,125,Neerja,Neerja38,root1234,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Please correct the following errors,,,,,Email address needs to contain @,Driving License # cannot be blank,Your Driving License Expired already!,Contact # must be numeric,Age should be less than 110,x
12,Neerja,Neerja28,root1234,1001575625,123@m.cmm,NEER28,2020-13-09,6825009379,user,Y,,Neerja,Neerja39,root1234,1001575625,n.neerja28@gmail.com,NEER28,2020-09-09,6825009379,user,Y,25,Please correct the following errors,,,,,Invalid domain name,,Invalid date format,,Enter your age,x
