1,,,,,,,,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,12345678,12/4/2018,6823316716,Please correct the following errors,Name cannot be blank,Login ID cannot be blank,Password cannot be blank,Email cannot be blank,Driving License # cannot be blank,Driving License Expiry Date cannot be blank,Contact # must be 10 digits in length
2,Karthik,,,,,,,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,12345678,12/4/2018,6823316716,Please correct the following errors,,Login ID cannot be blank,Password cannot be blank,Email cannot be blank,Driving License # cannot be blank,Driving License Expiry Date cannot be blank,Contact # must be 10 digits in length
3,Karthik,karthik10,,,,,,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,12345678,12/4/2018,6823316716,Please correct the following errors,,,Password cannot be blank,Email cannot be blank,Driving License # cannot be blank,Driving License Expiry Date cannot be blank,Contact # must be 10 digits in length
4,Karthik,karthik10,karthik10,,,,,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,12345678,12/4/2018,6823316716,Please correct the following errors,,,,Email cannot be blank,Driving License # cannot be blank,Driving License Expiry Date cannot be blank,Contact # must be 10 digits in length
5,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,,,,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,12345678,12/4/2018,6823316716,Please correct the following errors,,,,,Driving License # cannot be blank,Driving License Expiry Date cannot be blank,Contact # must be 10 digits in length
6,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,abcd1234,,,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,12345678,12/4/2018,6823316716,Please correct the following errors,,,,,,Driving License Expiry Date cannot be blank,Contact # must be 10 digits in length
7,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,abcd1234,12/13/2018,,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,12345678,12/4/2018,6823316716,Please correct the following errors,,,,,,,Contact # must be 10 digits in length
9,anu,10karth,anu@123,,abc12,1998-10-10,1234567,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,12345678,12/4/2018,6823316716,Please correct the following errors,Name must start with a capital letter,Login ID must begin with a letter,Password must be between 8 and 16 characters,Email cannot be blank,Driving License # must be between 6 and 12 characters,Your Driving License Expired already!,Contact # must be 10 digits in length
10,an,kar,anukn,anugmail.com,abc@123,2020-09-10,1234567890123,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,12345678,2020-09-10,6823316716,Please correct the following errors,Name must start with a capital letter,Login ID must be between 7 and 16 characters,Password must be between 8 and 16 characters,Email address needs to contain @,,,Contact # must be 10 digits in length
11,Karthik,karthik10,anukn@20,a@a.org,abcd1234,12/13/2018,6823316716,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,12345678,12/4/2018,6823316716,Please correct the following errors,,,,Email address must be between 8 and 45 characters long,,,
12,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,,12/4/2018,6823316716,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,12345678,12/4/2018,6823316716,Please correct the following errors,,,,,Driving License # cannot be blank,,
13,A,,,padiyarkarthik@gmail.org,,,,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,12345678,12/4/2018,6823316716,Please correct the following errors,Name must be between 2 and 32 characters,Login ID cannot be blank,Password cannot be blank,,Driving License # cannot be blank,Driving License Expiry Date cannot be blank,Contact # must be 10 digits in length
14,,karthik10,karthik10,padiyarkarthik@gmail.edu,1,2020-10-09,6823316716,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,12345678,12/4/2018,6823316716,Please correct the following errors,Name cannot be blank,,,,Driving License # must be between 6 and 12 characters,,
15,123,karthik10,karthik10,padiyarkarthik@gmail.gov,ab,12/4/2018,dp123,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,12345678,12/4/2018,6823316716,Please correct the following errors,Name cannot contain numbers,,,,Driving License # must be between 6 and 12 characters,,Contact # must be 10 digits in length
16,Karthik,karthik10,karthik10,padiyarkarthik@gmail.net,abcd1234,2018-12-12,dp,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,12345678,12/4/2018,6823316716,Please correct the following errors,,,,,,,Contact # must be 10 digits in length
17,Karthik,karthik10,karthik10,padiyarkarthik@gmail.mil,abc122344444444444444,12/4/2018,6823316716,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,12345678,12/4/2018,6823316716,Please correct the following errors,,,,,Driving License # must be between 6 and 12 characters,,
18,Karthik,karthik10,karthik10,padiyarkarthik@gmail,ab,12/4/2018,6823316716,Karthik,karthik10,karthik10,padiyarkarthik@gmail.com,12345678,12/4/2018,6823316716,Please correct the following errors,,,,Invalid domain name,Driving License # must be between 6 and 12 characters,,
